company,model_name,model_year,origin,mpg,cylinders,horsepower,weight,acceleration
Dodge,CoronetCustom,1974,Japan,32,4,60,2003,19
Dodge,DartCustom,1974,Japan,31,4,70,1950,19
Ford,MustangCobra,1974,Europe,31,4,70,2000,16
Audi,100LS,1975,US,15,6,110,3730,19
Chevrolet,Citation,1975,US,15,8,140,4440,14
Honda,Civic,1975,US,15,6,70,3158,19.5
Plymouth,Reliant,1975,US,15,6,70,3432,21
AMC,Matador(sw),1976,US,22.5,6,90,3085,17.6
Audi,4000,1976,US,15.5,8,120,3962,13.9
Chevrolet,Chevette,1976,US,16.5,8,180,4380,12.1
Chevrolet,MonteCarloS,1976,US,29,4,50,2035,22.2
Datsun,210MPG,1976,US,24.5,4,60,2164,22.1
Dodge,MagnumXE,1976,Japan,32,8,70,1990,17
Mazda,RX7GS,1976,Japan,33,4,50,1795,17.4
Plymouth,FuryIII,1976,Europe,16.5,4,120,3820,16.7
Volkswagen,411(sw),1976,US,18.5,6,110,3645,16.2
Buick,RegalSportCoupe(turbo),1977,Europe,21.5,4,110,2600,12.8
Chevrolet,Cavalier2door,1977,US,30,4,80,2155,14.8
Chevrolet,ChevelleMalibuClassic,1977,US,20.5,6,100,3425,16.9
Chevrolet,NovaCustom,1977,US,30.5,4,60,2051,17
Chevrolet,Woody,1977,US,17.5,6,110,3520,16.4
Chrysler,Cordoba,1977,US,15.5,8,170,4165,11.4
Datsun,310GX,1977,US,15.5,8,193,4325,12.2
Dodge,MonacoBrougham,1977,Japan,33.5,8,70,1945,16.8
Ford,CountrySquire(sw),1977,US,33.5,4,80,2075,15.9
Ford,Fiesta,1977,US,15.5,8,140,4140,13.7
Honda,Accord,1977,US,18.5,6,90,3525,19
Mazda,RX4,1977,Japan,31.5,4,70,2045,18.5
Peugeot,504,1977,Japan,21.5,5,110,2720,13.5
Plymouth,Horizon4,1977,US,15,8,130,4295,14.9
Volkswagen,RabbitCustom,1977,Japan,30,4,70,1985,16.4
AMC,Concord ,1978,US,19.4,6,90,3210,17.2
Buick,EstateWagon(sw),1978,Europe,20.3,5,100,2830,15.9
Cadillac,Seville,1978,US,20.6,6,100,3380,15.8
Chevrolet,ChevelleMalibu,1978,US,17.7,6,170,3445,13.4
Chevrolet,Nova,1978,US,30,4,70,2155,16.5
Chevy,S10,1978,US,20.5,6,90,3155,18.2
Datsun,F10Hatchback,1978,Japan,23.9,4,90,2405,14.9
Dodge,Rampage,1978,US,18.6,6,110,3620,18.7
Ford,Fairmont4,1978,US,17.5,8,140,4080,13.7
Ford,Grenada,1978,US,30.9,4,70,2230,14.5
Mazda,RX2Coupe,1978,Japan,29.5,4,70,2135,16.6
Plymouth,Sapporo,1978,US,20.8,6,80,3070,16.7
Pontiac,Firebird,1978,US,19.9,8,110,3365,15.5
Pontiac,J2000SEHatchback,1978,US,23.8,4,80,2855,17.6
Pontiac,SunbirdCoupe,1978,Europe,16.2,6,130,3410,15.8
Toyota,CelicaGTLiftback,1978,US,23.2,4,100,2745,16.7
Toyota,CorollaHardtop,1978,US,20.5,6,100,3430,17.2
Toyota,Tercel,1978,US,19.2,6,100,3535,19.2
Volkswagen,Jetta,1978,Europe,21.6,4,110,2795,15.7
Chevrolet,BelAir,1979,US,16.9,8,150,4360,14.9
Datsun,710,1979,US,18.5,8,150,3940,13
Dodge,AriesSE,1979,Japan,31.8,4,60,2020,19.2
Fiat,124B,1979,US,20.6,6,110,3360,16.6
Fiat,x1.9,1979,US,35.7,4,80,1915,14.4
Ford,LTDLandau,1979,US,18.2,8,130,3830,15.2
Ford,Mustang,1979,Europe,37.3,4,70,2130,14.7
Ford,Pinto,1979,US,15.5,8,140,4054,14.3
Ford,Torino500,1979,US,22.3,4,80,2890,17.3
Honda,AccordLX,1979,US,17.6,8,130,3725,13.4
Peugeot,304,1979,Japan,34.1,4,60,1975,15.2
Plymouth,HorizonMiser,1979,US,16.5,8,130,3955,13.2
Plymouth,Satellite,1979,US,19.8,6,80,2990,18.2
Pontiac,GrandPrix,1979,US,23.9,8,90,3420,22.2
Saab,99gle,1979,US,34.2,4,70,2200,13.2
Subaru,DL,1979,US,34.5,4,70,2150,14.9
Toyota,CorollaTercel,1979,US,21.5,6,110,3245,15.4
Toyota,Starlet,1979,US,33.5,4,90,2556,13.2
AMC,Gremlin,1980,US,24.3,4,90,3003,20.1
Buick,CenturySpecial,1980,Europe,34.3,4,70,2188,15.8
Buick,OpelIsuzuDeluxe,1980,Europe,36.4,5,70,2950,19.9
Chevrolet,Vega,1980,US,32.1,4,70,2120,15.5
Dodge,Aspen6,1980,Japan,32.7,4,130,2910,11.4
Dodge,Charger2.2,1980,Japan,37.2,4,60,2019,16.4
Dodge,Coltm/m,1980,Japan,37,4,90,2434,15
Dodge,St.Regis,1980,US,19.1,6,90,3381,18.7
Honda,Civic 1500 gl,1980,US,23.6,4,50,2905,14.3
Mazda,GLCCustoml,1980,Japan,32.4,4,70,2290,17
Plymouth,Champ,1980,Japan,23.7,6,100,2420,12.5
Plymouth,Duster,1980,Europe,30,6,70,3250,21.8
Volkswagen,Scirocco,1980,Japan,33.8,4,70,2145,18
Buick,Skylark,1981,US,22.4,6,110,3415,15.8
Chevrolet,Vega(sw),1981,US,23.5,6,110,2725,12.6
Datsun,510Hatchback,1981,US,17.6,6,80,3465,16.6
Datsun,B210,1981,Japan,32.9,4,100,2615,14.8
Dodge,Aspen,1981,Japan,37,4,60,1975,19.4
Dodge,D200,1981,Japan,24.2,6,120,2930,13.8
Ford,Pinto(sw),1981,US,29.9,4,60,2380,20.7
Ford,PintoRunabout,1981,US,34.4,4,60,2045,16.2
Honda,AccordCVCC,1981,US,20.2,6,80,3060,17.1
Pontiac,VenturaSJ,1981,US,39,4,60,1875,16.4
Saab,99le,1981,US,34.7,4,60,2215,14.9
Toyota,CelicaGT,1981,US,30,4,80,2385,12.9
Volkswagen,Dasher,1981,Europe,34.5,4,50,2320,15.8
Volkswagen,Rabbit,1981,Japan,32.3,4,70,2065,17.8
Chevrolet,Concours,1982,US,34,6,80,2395,18
Datsun,310,1982,US,31,6,80,2720,19.4
Dodge,ColtHatchbackCustom,1982,Japan,38,4,70,1995,16.2
Dodge,Omni,1982,US,29,4,80,2525,16
Fiat,StradaCustom,1982,US,36,4,80,2370,13
Ford,Grenadagl,1982,US,32,4,80,2295,11.6
Mazda,GLCDeluxe,1982,Japan,36,4,70,2205,14.5
Plymouth,SatelliteCustom,1982,Japan,36,4,80,2160,14.5
Plymouth,Volare,1982,US,38,6,80,3015,17
Subaru,DS,1982,US,38,4,60,2125,14.7
Toyota,CorollaMarkII(sw),1982,US,31,4,80,2575,16.2
Volkswagen,Type3,1982,Japan,32,4,90,2665,13.9
